Title,Company,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
Senior Backend Developer - Python/Django/Flask,Geeky Works,5.0,(3 Reviews),4-7 Yrs,Not disclosed,Pune,14 Days Ago,https://www.naukri.com/job-listings-senior-backend-developer-python-django-flask-geeky-works-pune-4-to-7-years-261021909996?src=jobsearchDesk&sid=16395413178137203&xp=2&px=1
Django Developer,Disha Consultants,4.6,(2 Reviews),4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-django-developer-disha-consultant-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-8-years-140621501223?src=jobsearchDesk&sid=16395413178137203&xp=18&px=1
Senior Backend Developer - Python/Django/Flask,Geeky Works,5.0,(3 Reviews),4-7 Yrs,Not disclosed,Pune,14 Days Ago,https://www.naukri.com/job-listings-senior-backend-developer-python-django-flask-geeky-works-pune-4-to-7-years-261021909996?src=jobsearchDesk&sid=16395413366853916&xp=2&px=1
Django Developer,Disha Consultants,4.6,(2 Reviews),4-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-django-developer-disha-consultant-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-8-years-140621501223?src=jobsearchDesk&sid=16395413366853916&xp=18&px=1
